processes,vertices,delta,enable_ios,enable_push_pull_pruning,enable_hybridization,hybridization_tau,enable_load_balancing,elapsed_time
24,4096,25,0,0,0,0.4,0,0.0343792
96,4194304,25,0,0,0,0.4,0,7.75039
24,4194304,25,0,0,0,0.4,0,5.99871
24,65536,25,0,0,0,0.4,0,0.0623727
48,4194304,25,0,0,0,0.4,0,3.7851
24,8192,25,0,0,0,0.4,0,0.0247173
24,2097152,25,0,0,0,0.4,0,2.58706
96,262144,25,0,0,0,0.4,0,0.344361
96,1048576,25,0,0,0,0.4,0,0.559736
24,1024,25,0,0,0,0.4,0,0.0214136
24,4096,25,0,0,0,0.4,0,0.0241036
72,1024,25,0,0,0,0.4,0,0.0440595
72,262144,25,0,0,0,0.4,0,0.143962
48,2048,25,0,0,0,0.4,0,0.0307784
24,1024,25,0,0,0,0.4,0,0.0212231
48,4096,25,0,0,0,0.4,0,0.0350468
72,2048,25,0,0,0,0.4,0,0.0436232
48,131072,25,0,0,0,0.4,0,0.227432
72,4096,25,0,0,0,0.4,0,0.0599709
24,2097152,25,0,0,0,0.4,0,5.30908
24,32768,25,0,0,0,0.4,0,0.042094
24,262144,25,0,0,0,0.4,0,0.480728
96,8192,25,0,0,0,0.4,0,0.0454378
24,16384,25,0,0,0,0.4,0,0.0523968
72,16384,25,0,0,0,0.4,0,0.0494714
96,32768,25,0,0,0,0.4,0,0.0916901
48,2097152,25,0,0,0,0.4,0,1.74609
48,65536,25,0,0,0,0.4,0,0.0631521
48,4096,25,0,0,0,0.4,0,0.0474653
48,1024,25,0,0,0,0.4,0,0.0348835
96,4194304,25,0,0,0,0.4,0,2.61632
24,262144,25,0,0,0,0.4,0,0.204185
96,4096,25,0,0,0,0.4,0,0.0348637
96,65536,25,0,0,0,0.4,0,0.066426
48,2048,25,0,0,0,0.4,0,0.039284
96,1024,25,0,0,0,0.4,0,0.0309751
72,4194304,25,0,0,0,0.4,0,8.37534
72,65536,25,0,0,0,0.4,0,0.113438
48,262144,25,0,0,0,0.4,0,0.429322
96,2048,25,0,0,0,0.4,0,0.0468283
48,65536,25,0,0,0,0.4,0,0.136468
72,2097152,25,0,0,0,0.4,0,3.65561
